item_seq,item_name,ingr_code,ingr_name_ko,ingr_name_en,atc_code,synonyms,성상,의약품제형,색상앞,표시앞,표시뒤,severity_class,label_section,dili_status
201205263,알레리스정(올로파타딘염산염),M233188,올로파타딘염산염,Olopatadine Hydrochloride,R06AX,[],담황적색의원형필름코팅정제,원형,분홍,LE분할선마크,-,,No Match,vNo-Data
201205264,팔팔츄정50밀리그램(실데나필),M253237,실데나필,Sildenafil,G04BE03,[],연한파란색의씹어먹는원형정제,원형,파랑,SCT50,분할선,,No Match,vNo-Data
201205265,팔팔츄정100밀리그램(실데나필),M253237,실데나필,Sildenafil,G04BE03,[],연한파란색의씹어먹는원형정제,원형,파랑,SCT100,분할선,,No Match,vNo-Data
201205266,아리피졸정5밀리그램(아리피프라졸),M096829,아리피프라졸,Aripiprazole,N05AX12,[],파랑색의장방형정제,타원형,파랑,A-W5,-,5.0,Adverse reactions,vLess-DILI-concern
201205269,나제론오디정0.1mg(라모세트론염산염),M255325,라모세트론염산염,Ramosetron Hydrochloride,A04AA,[],양면이볼록한원형의엷은적황색구강붕해정,원형,분홍,BR,-,,No Match,vNo-Data
201205274,이디포스정100밀리그램(실데나필시트르산염),M252789,실데나필시트르산염,Sildenafil Citrate,,[],마름모형의푸른색필름코팅정,마름모형,파랑,Y분할선H,100,3.0,Adverse reactions,vLess-DILI-concern
201205329,바미라크정100밀리그램(실데나필시트르산염),M252789,실데나필시트르산염,Sildenafil Citrate,G04BE03,[],푸른색의타원형필름코팅정,타원형,파랑,마크,100,3.0,Adverse reactions,vLess-DILI-concern
201205330,바미라크정50밀리그램(실데나필시트르산염),M252789,실데나필시트르산염,Sildenafil Citrate,G04BE03,[],푸른색의타원형필름코팅정,타원형,파랑,마크,50,3.0,Adverse reactions,vLess-DILI-concern
201205347,포르테브이정100밀리그램(실데나필시트르산염),M252789,실데나필시트르산염,Sildenafil Citrate,G04BE03,[],보라색의육각형필름코팅정,육각형,보라,F분할선V,100,3.0,Adverse reactions,vLess-DILI-concern
201205361,크레온캡슐10000(판크레아스 분말),M254733,판크레아스분말,Pancrease Powder,A09AA02,[],갈색의장용성미립펠렛을함유한상부불투명갈색|하부무색투명의경질캡슐,장방형,갈색,C10,-,,No Match,vNo-Data
201205362,크레온캡슐25000(판크레아스 분말),M254733,판크레아스분말,Pancrease Powder,A09AA02,[],갈색의장용성미립펠렛을함유한상부불투명주황색|하부무색투명의경질캡슐,장방형,빨강,C25,-,,No Match,vNo-Data
201205364,크레온캡슐40000(판크레아스 분말),M254733,판크레아스분말,Pancrease Powder,A09AA02,[],갈색의장용정미립정을함유한상부불투명갈색|하부무색투명의경질캡슐,장방형,갈색,C40,-,,No Match,vNo-Data
201205379,플리즈구강용해필름50밀리그램(실데나필),M253237,실데나필,Sildenafil,G04BE03,[],파란색또는옅은파란색의직사각형구강용해필름제,사각형,파랑,-,-,,No Match,vNo-Data
201205380,프리스틴구강용해필름50밀리그램(실데나필),M253237,실데나필,Sildenafil,G04BE03,[],파란색또는옅은파란색의직사각형구강용해필름,사각형,파랑,-,-,,No Match,vNo-Data
201205381,엠슈타인구강용해필름50밀리그램(실데나필),M253237,실데나필,Sildenafil,G04BE03,[],파란색또는옅은파란색의직사각형구강용해필름,사각형,파랑,-,-,,No Match,vNo-Data
201205382,포르테라구강용해필름 50밀리그램(실데나필),M253237,실데나필,Sildenafil,G04BE03,[],파란색또는옅은파란색의직사각형구강용해필름,사각형,파랑,-,-,,No Match,vNo-Data
201205383,프리야구강용해필름50밀리그램(실데나필),M253237,실데나필,Sildenafil,G04BE03,[],파란색또는옅은파란색의직사각형구강용해필름,사각형,파랑,-,-,,No Match,vNo-Data
201205414,애스몬테속붕정4밀리그램(몬테루카스트나트륨),M092914,몬테루카스트나트륨,Montelukast Sodium,R03DC03,[],흰색또는미황색의원형구강붕해정,원형,하양,SM4,KLN,3.0,Adverse reactions,vLess-DILI-concern
201205415,애스몬테속붕정5밀리그램(몬테루카스트나트륨),M092914,몬테루카스트나트륨,Montelukast Sodium,R03DC03,[],분홍색의원형구강붕해정,원형,분홍,SM5,KLN,3.0,Adverse reactions,vLess-DILI-concern
201205447,디카테오1000정,M256378,농축콜레칼시페롤 과립,Calcium Citrate/Cholecalciferol Concentrate Granules,A12AX,"[""시트르산칼슘""]",흰색의장방형정제,장방형,하양,마크분할선CT,-,,No Match,vNo-Data
201205499,오스맥정150밀리그램(이반드론산나트륨일수화물),M102556,이반드론산나트륨일수화물,Ibandronate Sodium Monohydrate,M05BA06,[],흰색내지거의흰색의장방형필름코팅정,장방형,하양,OM,CD,,No Match,vNo-Data
201205527,랙스엠정2/500밀리그램,M086024,글리메피리드,Metformin Hydrochloride/Glimepiride,A10BD02,"[""메트포르민염산염""]",흰색의장방형필름코팅정,타원형,하양,LEXM,분할선,7.0,Adverse reactions,vLess-DILI-concern
201205536,자이그라정100밀리그램(실데나필시트르산염),M252789,실데나필시트르산염,Sildenafil Citrate,G04BE03,[],푸른색의육각형필름코팅정,육각형,파랑,D분할선C,100,3.0,Adverse reactions,vLess-DILI-concern
201205539,칸데그라정(실데나필시트르산염),M252789,실데나필시트르산염,Sildenafil Citrate,G04BE03,[],푸른색의육각형필름코팅정,육각형,파랑,K분할선b,100,3.0,Adverse reactions,vLess-DILI-concern
201205549,올페인캡슐(네포팜염산염),M254140,네포팜염산염,Nefopam Hydrochloride,N02BG06,[],백색내지미백색의분말이충진된상하부담청색의경질캡슐,장방형,파랑,PBKACU,-,,No Match,vNo-Data
201205573,보니엠정150밀리그램(이반드론산나트륨일수화물),M102556,이반드론산나트륨일수화물,Ibandronate Sodium Monohydrate,M05BA06,[],흰색내지거의흰색의장방형필름코팅정,장방형,하양,SPPC,150,,No Match,vNo-Data
201205577,레드코에프연질캡슐,M223211,클로르페니라민말레산염,Acetaminophen/Pseudoephedrine Hydrochloride/Chlorpheniramine Maleate,,"[""슈도에페드린염산염"", ""아세트아미노펜""]",미황색(연노랑)내지연한적색의액상내용물이든적색의투명한장방형연질캡슐,타원형,빨강|투명,레드코F,-,5.0,Warnings & precautions,vMost-DILI-concern
201205623,아나본정150밀리그램(이반드론산나트륨일수화물),M102556,이반드론산나트륨일수화물,Ibandronate Sodium Monohydrate,M05BA06,[],흰색내지거의흰색의장방형필름코팅정,장방형,하양,ΛJU,150,,No Match,vNo-Data
201205628,레토프라정20밀리그램(에스-판토프라졸나트륨 삼수화물),M254776,에스-판토프라졸나트륨삼수화물,S-Pantoprazole Sodium Trihydrate,A02BC02,[],노란색의장용성제피를한양면이볼록한타원형정제,타원형,노랑,L20,-,,No Match,vNo-Data
201205653,콘티600정,M255994,시아노코발라민1000배산,Gamma-Oryzanol/Fursultiamine/Nicotinamide/Choline Tartrate/Calcium Pantothenate/Riboflavin Butyrate/Inositol/Sodium Chondroitin Sulfate/Pyridoxine Hydrochloride/Cyanocobalamin Powder 0.1%,A11EX,"[""이노시톨"", ""푸르설티아민"", ""리보플라빈부티레이트"", ""콘드로이틴설페이트나트륨"", ""γ-오리자놀"", ""콜린타르타르산염"", ""피리독신염산염"", ""니코틴산아미드"", ""판토텐산칼슘""]",갈색의장방형필름코팅정,타원형,갈색,MTS-6,분할선,0.0,No match,vNo-DILI-concern
201205654,에이치-유정100밀리그램(실데나필시트르산염),M252789,실데나필시트르산염,Sildenafil Citrate,G04BE03,[],푸른색의육각형필름코팅정,육각형,파랑,AG,S1분할선00,3.0,Adverse reactions,vLess-DILI-concern
201205823,셀레콕스캡슐(세레콕시브),M089149,세레콕시브,Celecoxib,M01AH01,[],흰색내지미백색의가루가든상·하부노란색줄이있는흰색의경질캡슐,장방형,하양,UTCL200,-,3.0,Warnings & precautions,vLess-DILI-concern
201205825,프랄린캡슐75밀리그램(프레가발린),M102323,프레가발린,Pregabalin,N02BF02,[],흰색분말이든상부적갈색|하부흰색의경질캡슐,장방형,갈색,IHPPRL75,-,0.0,No match,vLess-DILI-concern
